driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
sergio campana,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1593,148,53,152,Gold
tom gamble,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1788,192,69,176,Gold
tristan gommendy,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1638,50,48,152,Platinum
vincent capillaire,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1403,137,50,149,Silver
william stevens,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1635,47,50,150,Platinum
yifei ye,2021-06-06 11:00:00,Paul Ricard,elms,LMP2,1862,41,51,173,Gold
alex brundle,2021-06-13 11:00:00,Portimao,wec,LMP2,1654,159,118,199,Gold
anders fjordbach,2021-06-13 11:00:00,Portimao,wec,LMP2,1559,-73,106,184,Silver
anthony davidson,2021-06-13 11:00:00,Portimao,wec,LMP2,1845,116,94,169,Platinum
antonio felix da costa,2021-06-13 11:00:00,Portimao,wec,LMP2,2029,329,112,156,Platinum
beitske visser,2021-06-13 11:00:00,Portimao,wec,LMP2,1185,-102,86,126,Silver
benjamin hanley,2021-06-13 11:00:00,Portimao,wec,LMP2,1511,-9,118,297,Gold
