event_id,series_code,year,event_number,event_name,track,track_id,track_official_name,track_country,track_lat,track_lon,start_date,end_date,session_count,race_count,race_duration_minutes,race_type,avg_air_temp_f,avg_track_temp_f,avg_humidity_pct,had_rain,dry,is_race
imsa-2019-long-beach,imsa,2019,05,Long Beach Street Circuit,Long Beach,long-beach,Acura Grand Prix of Long Beach,United States,33.7598,-118.189,2019-04-12,2019-04-13,4,1250,102,Sprint,66.8,67.7,60.7,false,true,true
imsa-2018-laguna-seca,imsa,2018,20,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2018-09-07,2018-09-09,6,1680,163,Sprint,66.5,93.4,68.7,false,true,true
imsa-2018-vir,imsa,2018,18,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2018-08-17,2018-08-19,6,1469,163,Sprint,86.2,104.7,67.0,false,true,true
imsa-2018-road-america,imsa,2018,16,Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2018-08-03,2018-08-05,6,1204,162,Sprint,82.1,93.1,60.5,false,true,true
imsa-2018-lime-rock,imsa,2018,15,Lime Rock Park,Lime Rock,lime-rock,Lime Rock Park,United States,41.9277,-73.3836,2018-07-20,2018-07-21,6,2747,161,Sprint,78.3,98.1,51.9,false,true,true
imsa-2018-mosport,imsa,2018,09,Canadian Tire Motorsport Park,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2018-07-06,2018-07-08,6,1942,162,Sprint,74.3,99.1,44.6,false,true,true
imsa-2018-mosport,imsa,2018,19,Canadian Tire Motorsport Park,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2018-07-06,2018-07-08,6,1942,162,Sprint,74.3,99.1,44.6,false,true,true
imsa-2018-mosport,imsa,2018,13,Canadian Tire Motorsport Park,Mosport,mosport,Canadian Tire Motorsport Park,Canada,44.0481,-78.6756,2018-07-06,2018-07-08,6,1942,162,Sprint,74.3,99.1,44.6,false,true,true
imsa-2018-belle-isle,imsa,2018,10,Belle Isle Street Circuit,Belle Isle,belle-isle,Detroit Belle Isle Grand Prix,United States,42.3378,-83.0008,2018-06-01,2018-06-02,5,716,102,Sprint,70.2,79.8,75.0,false,true,true
imsa-2018-mid-ohio,imsa,2018,08,Mid-Ohio Sports Car Course,Mid-Ohio,mid-ohio,Mid-Ohio Sports Car Course,United States,40.6869,-82.6352,2018-05-04,2018-05-06,6,2311,162,Sprint,68.1,70.6,58.2,false,true,true
imsa-2018-long-beach,imsa,2018,06,Long Beach Street Circuit,Long Beach,long-beach,Acura Grand Prix of Long Beach,United States,33.7598,-118.189,2018-04-13,2018-04-14,4,503,102,Sprint,69.8,101.7,30.7,false,true,true
